,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
9838,1,41,178.0,83.0,25.0,115.0,40.5
7689,1,52,176.0,77.0,26.0,112.0,40.8
6557,0,22,176.0,66.0,12.0,89.0,40.3
6872,0,52,152.0,56.0,24.0,97.0,40.8
820,0,32,144.0,49.0,5.0,90.0,39.0
1643,0,24,175.0,66.0,17.0,93.0,40.5
7217,1,71,183.0,87.0,26.0,111.0,40.9
8351,0,71,149.0,49.0,9.0,90.0,39.7
2631,0,23,189.0,79.0,5.0,94.0,38.9
107,0,26,159.0,53.0,19.0,92.0,40.5
10329,0,21,154.0,53.0,4.0,86.0,38.9
367,0,56,160.0,63.0,4.0,84.0,38.7
8216,1,78,183.0,83.0,10.0,93.0,40.0
416,0,49,173.0,67.0,10.0,85.0,39.5
2420,1,63,177.0,80.0,3.0,89.0,38.7
729,1,24,166.0,71.0,2.0,78.0,38.2
13627,0,56,163.0,65.0,21.0,108.0,40.8
4170,0,66,171.0,65.0,28.0,96.0,40.6
6189,0,71,163.0,66.0,17.0,96.0,40.0
12752,0,23,162.0,58.0,27.0,103.0,40.7
10385,0,47,160.0,53.0,20.0,96.0,40.6
5778,0,40,170.0,70.0,29.0,109.0,41.1
6206,1,47,190.0,86.0,6.0,90.0,39.2
2388,1,26,176.0,81.0,12.0,90.0,39.7
12619,0,63,157.0,61.0,16.0,92.0,40.6
4894,1,65,185.0,92.0,24.0,102.0,40.7
6586,1,32,166.0,72.0,2.0,82.0,38.4
8439,1,35,203.0,109.0,12.0,94.0,40.1
5094,0,47,148.0,55.0,3.0,79.0,39.0
4747,0,34,149.0,47.0,25.0,100.0,40.9
510,1,36,173.0,75.0,16.0,94.0,40.4
700,1,21,182.0,87.0,22.0,107.0,40.6
6679,1,54,175.0,82.0,10.0,83.0,39.6
11135,1,27,204.0,109.0,17.0,91.0,40.3
2628,0,27,161.0,55.0,13.0,93.0,40.2
3679,1,47,166.0,71.0,9.0,95.0,39.5
1277,1,32,182.0,87.0,20.0,98.0,40.7
5226,0,56,162.0,56.0,19.0,97.0,40.5
2030,0,37,144.0,47.0,17.0,96.0,40.0
5071,1,30,181.0,82.0,19.0,101.0,40.4
39,1,61,183.0,86.0,1.0,81.0,38.3
1891,0,46,151.0,51.0,28.0,108.0,40.9
7874,1,21,190.0,93.0,6.0,80.0,39.3
4785,0,30,163.0,58.0,19.0,92.0,40.3
3421,0,34,155.0,55.0,28.0,108.0,40.9
4111,1,25,170.0,68.0,25.0,110.0,40.6
7621,0,72,145.0,49.0,25.0,109.0,40.6
10514,0,64,165.0,67.0,29.0,110.0,40.7
2980,0,54,162.0,63.0,13.0,101.0,40.0
5001,1,51,199.0,104.0,25.0,104.0,40.3
12678,1,36,184.0,84.0,23.0,105.0,40.8
1303,0,21,167.0,63.0,22.0,102.0,40.8
4618,1,20,176.0,76.0,26.0,116.0,40.9
7708,0,22,173.0,72.0,28.0,107.0,40.5
10986,1,28,172.0,72.0,5.0,81.0,38.7
346,1,76,195.0,93.0,23.0,96.0,40.5
7375,1,31,206.0,107.0,27.0,100.0,40.5
8530,0,56,155.0,60.0,3.0,84.0,38.7
9743,1,55,182.0,83.0,22.0,100.0,40.7
474,1,25,198.0,96.0,5.0,85.0,39.1
8860,1,22,176.0,78.0,12.0,91.0,40.1
6576,0,33,145.0,49.0,13.0,95.0,40.3
9937,1,30,184.0,81.0,14.0,95.0,40.2
12770,1,62,185.0,92.0,21.0,101.0,40.7
13317,0,64,151.0,54.0,22.0,106.0,40.7
322,1,20,187.0,86.0,23.0,100.0,40.3
5245,0,37,167.0,61.0,10.0,89.0,39.9
4953,0,61,154.0,55.0,14.0,95.0,40.2
11247,0,23,165.0,66.0,13.0,95.0,40.1
7820,1,50,177.0,79.0,21.0,96.0,40.5
2754,1,52,190.0,93.0,26.0,105.0,40.5
9512,0,74,151.0,54.0,13.0,97.0,39.9
13632,1,48,202.0,102.0,29.0,117.0,40.7
3514,1,53,191.0,91.0,17.0,92.0,40.5
5905,0,58,179.0,79.0,11.0,88.0,39.8
971,0,20,176.0,69.0,10.0,84.0,40.2
6698,0,54,169.0,66.0,13.0,96.0,40.1
10194,1,25,201.0,107.0,4.0,78.0,38.8
8661,1,26,190.0,87.0,23.0,100.0,40.7
12095,0,21,161.0,57.0,23.0,95.0,40.8
6113,0,23,163.0,62.0,20.0,103.0,40.3
10862,0,25,169.0,64.0,22.0,107.0,40.4
14570,1,27,187.0,85.0,26.0,101.0,40.9
